kabupaten,forecast_week,predicted_cases
KotaMadiun,2024-01-09,0
KotaMadiun,2024-01-16,0
KotaMadiun,2024-01-23,0
KotaMagelang,2024-01-02,0
KotaMagelang,2024-01-09,1
KotaMagelang,2024-01-16,1
KotaMagelang,2024-01-23,1
KotaMalang,2024-01-02,9
KotaMalang,2024-01-09,1
KotaMalang,2024-01-16,2
KotaMalang,2024-01-23,1
KotaMedan,2024-01-02,0
KotaMedan,2024-01-09,1
KotaMedan,2024-01-16,1
KotaMedan,2024-01-23,2
KotaMojokerto,2024-01-02,0
KotaMojokerto,2024-01-09,0
KotaMojokerto,2024-01-16,0
KotaMojokerto,2024-01-23,0
KotaPasuruan,2024-01-02,0
KotaPasuruan,2024-01-09,0
KotaPasuruan,2024-01-16,0
KotaPasuruan,2024-01-23,0
KotaPekalongan,2024-01-02,0
KotaPekalongan,2024-01-09,0
KotaPekalongan,2024-01-16,0
KotaPekalongan,2024-01-23,0
KotaPontianak,2024-01-02,20
KotaPontianak,2024-01-09,12
KotaPontianak,2024-01-16,9
KotaPontianak,2024-01-23,4
KotaProbolinggo,2024-01-02,0
KotaProbolinggo,2024-01-09,0
KotaProbolinggo,2024-01-16,1
KotaProbolinggo,2024-01-23,1
KotaSemarang,2024-01-02,0
KotaSemarang,2024-01-09,5
KotaSemarang,2024-01-16,24
KotaSemarang,2024-01-23,4
KotaSerang,2024-01-02,0
KotaSerang,2024-01-09,4
KotaSerang,2024-01-16,1
KotaSerang,2024-01-23,0
KotaSolok,2024-01-02,0
KotaSolok,2024-01-09,0
KotaSolok,2024-01-16,0
KotaSolok,2024-01-23,0
KotaSorong,2024-01-02,0
KotaSorong,2024-01-09,0
KotaSorong,2024-01-16,0
KotaSorong,2024-01-23,0
KotaSukabumi,2024-01-02,0
KotaSukabumi,2024-01-09,0
KotaSukabumi,2024-01-16,0
KotaSukabumi,2024-01-23,0
KotaTangerang,2024-01-02,0
KotaTangerang,2024-01-09,4
KotaTangerang,2024-01-16,1
KotaTangerang,2024-01-23,1
KotaTanjungbalai,2024-01-02,0
KotaTanjungbalai,2024-01-09,0
KotaTanjungbalai,2024-01-16,0
KotaTanjungbalai,2024-01-23,0
KotaTasikmalaya,2024-01-02,0
KotaTasikmalaya,2024-01-09,7
KotaTasikmalaya,2024-01-16,1
KotaTasikmalaya,2024-01-23,2
KotaTegal,2024-01-02,0
KotaTegal,2024-01-09,0
KotaTegal,2024-01-16,0
KotaTegal,2024-01-23,0
KotaYogyakarta,2024-01-02,0
KotaYogyakarta,2024-01-09,0
KotaYogyakarta,2024-01-16,0
KotaYogyakarta,2024-01-23,1
Kotamobagu,2024-01-02,0
Kotamobagu,2024-01-09,0
Kotamobagu,2024-01-16,0
